Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,lakeID
2024-03-12,6.5,11.6,96.5,0,MHK
2024-03-12,7.2,11.03,96.2,1,MHK
2024-03-12,5.9,11.5,97,2,MHK
2024-03-12,5.7,11.55,96.9,3,MHK
2024-03-12,5.4,11.6,96.6,4,MHK
2024-03-12,5,11.62,95.8,5,MHK
2024-03-12,4.8,11.63,95.3,6,MHK
2024-03-12,4.7,11.65,95.2,7,MHK
2024-03-12,4.6,11.65,95,8,MHK
2024-03-12,4.5,11.66,95,9,MHK
2024-03-12,4.5,11.65,94.8,10,MHK
2024-03-12,NA,NA,NA,10.5,MHK
2024-03-12,4.5,11.63,94.5,11,MHK
2024-03-12,4.4,11.6,94.2,12,MHK
