Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2024-04-09,10.1,11.61,107.8,0,MHK
2024-04-09,7.9,11.76,103.6,1,MHK
2024-04-09,7.1,12.11,104.4,2,MHK
2024-04-09,6.4,12.28,104.1,3,MHK
2024-04-09,6,12.4,104.1,4,MHK
2024-04-09,5.7,12.41,103.4,5,MHK
2024-04-09,5.6,12.37,102.8,6,MHK
2024-04-09,5.6,12.3,102.1,7,MHK
2024-04-09,5.5,12.18,100.9,8,MHK
2024-04-09,5.4,12.11,100,9,MHK
2024-04-09,5.4,12.06,99.5,10,MHK
2024-04-09,5.3,12.03,99.2,11,MHK
2024-04-09,5.3,11.85,97.6,12,MHK
