Date,Notes,Initials,BeginRow1,EndRow1,BeginRow2,EndRow2,BeginRow3,EndRow3,BeginRow4,EndRow4,BeginRow5,EndRow5,BeginRow6,EndRow6,BeginRow7,EndRow7,BeginRow8,EndRow8,BeginRow9,EndRow9,BeginRow10,EndRow10
2024-06-05,,,,,,,,,,,,,,,,,,,,,,
2024-06-12,,,7,7,15,29,,,,,,,,,,,,,,,,
2024-06-18,,,23,23,,,,,,,,,,,,,,,,,,
2024-06-25,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,,,50,50,,,,,,,,,,,,,,,,,,
2024-07-03,,,28,28,,,,,,,,,,,,,,,,,,
2024-07-09,,,,,,,,,,,,,,,,,,,,,,
2024-07-17,,,,,,,,,,,,,,,,,,,,,,
2024-07-23,,,,,,,,,,,,,,,,,,,,,,
2024-08-05,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,,,,,,,,,,,,,,,,,,,,,,
2024-08-21,,,22,22,,,,,,,,,,,,,,,,,,
2024-08-28,,,,,,,,,,,,,,,,,,,,,,
2024-09-04,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,,,,,,,,,,,,,,,,,,,,,,
2024-09-18,HACH wrong at 5m,,23,23,,,,,,,,,,,,,,,,,,
2024-09-25,,,6,6,,,,,,,,,,,,,,,,,,
2024-10-02,,,,,,,,,,,,,,,,,,,,,,
2024-10-09,,,,,,,,,,,,,,,,,,,,,,
2024-10-16,,,8,8,,,,,,,,,,,,,,,,,,
2024-10-23,,,50,50,,,,,,,,,,,,,,,,,,
2024-10-30,,,50,50,,,,,,,,,,,,,,,,,,
2024-11-06,,,,,,,,,,,,,,,,,,,,,,
2024-11-13,,,,,,,,,,,,,,,,,,,,,,
2024-11-20,,,,,,,,,,,,,,,,,,,,,,
2024-11-25,,,,,,,,,,,,,,,,,,,,,,
2024-12-04,,,,,,,,,,,,,,,,,,,,,,
2024-12-11,,,,,,,,,,,,,,,,,,,,,,
2024-12-18,,,,,,,,,,,,,,,,,,,,,,
